"Alanine","C01401","D-Alanine","C00133",1
"Alanine","C01401","L-Alanine","C00041",1
"Aldotriose","C02154","L-Aldotriose","C02426",1
"Arginine","C02385","D-Arginine","C00792",1
"Arginine","C02385","L-Arginine","C00062",1
"Asparagine","C16438","D-Asparagine","C01905",1
"Asparagine","C16438","L-Asparagine","C00152",1
"Aspartate","C16433","D-Aspartate","C00402",1
"Aspartate","C16433","L-Aspartate","C00049",1
"Aspartic acid","C16433","D-Aspartic acid","C00402",1
"Aspartic acid","C16433","L-Aspartic acid","C00049",1
"Borneol","C01411","d-Borneol","C01765",1
"Borneol","C01411","L-Borneol","C01766",1
"Carnitine","C00487","D-Carnitine","C15025",1
"Carnitine","C00487","L-Carnitine","C00318",1
"Catechin","C17590","D-Catechin","C06562",1
"Citramalate","C00815","D-Citramalate","C02612",1
"Citramalate","C00815","L-Citramalate","C02614",1
"Citramalic acid","C00815","D-Citramalic acid","C02612",1
"Citramalic acid","C00815","L-Citramalic acid","C02614",1
"Citramalyl-CoA","C00904","L-Citramalyl-CoA","C01011",1
"Cystathionine","C00542","L-Cystathionine","C02291",1
"Cysteine","C00736","D-Cysteine","C00793",1
"Cysteine","C00736","L-Cysteine","C00097",1
"Cystine","C01420","L-Cystine","C00491",1
"D-Fructose","C10906","D-Fructose","C00095",1
"Dicysteine","C01420","L-Dicysteine","C00491",1
"Flavone","C15608","Flavone","C10043",1
"Fructose","C02336","D-Fructose","C00095",1
"Fructose","C02336","L-Fructose","C01719",1
"Fructose 1-phosphate","C02976","D-Fructose 1-phosphate","C01094",1
"Galactarate","C01807","D-Galactarate","C00879",1
"Galactaric acid","C01807","D-Galactaric acid","C00879",1
"Galactose","C01582","D-Galactose","C00124",1
"Galactose","C01582","L-Galactose","C01825",1
"Galacturonic acid","C08348","D-Galacturonic acid","C00333",1
"Glucarate","C00767","D-Glucarate","C00818",1
"Glucaric acid","C00767","D-Glucaric acid","C00818",1
"Glucuronic acid","C00191","D-Glucuronic acid","C16245",1
"Glutamate","C00025","D-Glutamate","C00217",1
"Glutamate","C00302","Glutamate","C00025",1
"Glutamate","C00302","D-Glutamate","C00217",1
"Glutamate","C00302","L-Glutamate","C00025",1
"Glutamic acid","C00302","D-Glutamic acid","C00217",1
"Glutamic acid","C00302","L-Glutamic acid","C00025",1
"Glutamine","C00303","D-Glutamine","C00819",1
"Glutamine","C00303","L-Glutamine","C00064",1
"Glyceraldehyde","C02154","D-Glyceraldehyde","C00577",1
"Glyceraldehyde","C02154","L-Glyceraldehyde","C02426",1
