CID	command	name	comment
C00008	Add	Adenosine-5'-diphosphate	Adding a default name to the common version
C00041	Add	Alanine	Adding a default name to the commonL version
C00047	Add	Lysine	Adding a default name to the commonL version
C00049	Add	Aspartate	Adding a default name to the commonL version
C00049	Add	Aspartic acid	Adding a default name to the common L version
C00053	Add	3'-Phospho-5'-adenylyl-sulfate	Fixing of an incorrect value
C00053	Add	3'-Phospho-5'-adenylylsulfate	Fixing of an incorrect value
C00053	Add	3'-Phosphoadenosine-5'-phosphosulfate	Fixing of an incorrect value
C00053	Add	3'-Phosphoadenylyl-sulfate	Fixing of an incorrect value
C00053	Add	Phosphoadenosine-phosphosulfate	Adding a default name to the common version
C00053	Add	Phospho-adenylyl-sulfate	Adding a default name to the common version
C00053	Add	Phosphoadenylyl-sulfate	Adding a default name to the common version
C00053	Add	Phosphoadenylylsulfate	Adding a default name to the common version
C00053	Remove	3'-Phospho-5'-adenylyl sulfate	Incorrect value
C00053	Remove	3'-Phosphoadenosine 5'-phosphosulfate	Incorrect value
C00053	Remove	3'-Phosphoadenylyl sulfate	Incorrect value
C00054	Add	adenosine-3',5'-biphosphate	Fixing of an incorrect value
C00054	Remove	adenosine 3',5'-biphosphate	Incorrect value
C00062	Add	Arginine	Adding a default name to the common L version
C00064	Add	Glutamine	Adding a default name to the commonL version
C00074	Add	3-phosphoenolpyruvate	Fixing of an incorrect value
C00074	Remove	phosphoenolpyruvate3-	Incorrect value
C00077	Add	Ornithine	Adding a default name to the common L version
C00077	Add	Ornithine	Adding a default name to the commonL version
C00079	Add	Phenylalanine	Adding a default name to the common L version
C00085	Add	D-Fructose-6-phosphate	Fixing of an incorrect value
C00085	Add	Fructose-6-phosphate	Adding a default name to the common D version
C00085	Remove	D-Fructose 6-phosphate	Incorrect value
C00092	Add	D-Glucose-6-phosphate	Fixing of an incorrect value
C00092	Add	Glucose-6-phosphate	Fixing of an incorrect value
C00092	Remove	D-Glucose 6-phosphate	Incorrect value
C00092	Remove	D-glucose 6-phosphate-2-	Incorrect value
C00093	Add	Glycerol 1-phosphate	Adding a default name to the common D version
C00095	Add	D-Fructofuranose	Adding an accurate name to the common D version
C00095	Add	Fructose	Adding a default name to the common D version
C00095	Remove	D-Fructose	Adding after deletion
C00097	Add	Cysteine	Adding a default name to the commonL version
C00103	Add	alpha-D-Glucose-1-phosphate	Fixing of an incorrect value
C00103	Add	D-Glucose-1-phosphate	Fixing of an incorrect value
C00103	Add	D-Glucose-alpha-1-phosphate	Fixing of an incorrect value
C00103	Add	Glucose-1-phosphate	Fixing of an incorrect value
C00103	Remove	alpha-D-Glucose 1-phosphate	Incorrect value
C00103	Remove	D-Glucose 1-phosphate	Incorrect value
C00103	Remove	D-Glucose alpha-1-phosphate	Incorrect value
C00103	Remove	Glucose 1-phosphate	Incorrect value
C00117	Add	D-Ribose-5-phosphate	Fixing of an incorrect value
C00117	Add	Ribose-5-phosphate	Fixing of an incorrect value
C00117	Remove	D-Ribose 5-phosphate	Incorrect value
C00117	Remove	Ribose 5-phosphate	Incorrect value
C00119	Add	5-phospho-d-ribose-1-diphosphate	Fixing of an incorrect value
C00119	Add	5-phospho-ribose-1-diphosphate	Addin a default name to the common D version
C00119	Add	5-Phosphoribosyl-1-pyrophosphate	Fixing of an incorrect value
C00119	Add	5-Phosphoribosyl-diphosphate	Fixing of an incorrect value
C00119	Remove	5-phospho--d-ribose 1-diphosphate	Incorrect value
C00119	Remove	5-Phosphoribosyl 1-pyrophosphate	Incorrect value
C00119	Remove	5-Phosphoribosyl diphosphate	Incorrect value
C00121	Add	Ribose	Adding a default name to the common D version
C00123	Add	Leucine	Adding a default name to the common L version
C00124	Add	Galactose	Adding a default name to the common D version
C00135	Add	Histidine	Adding a default name to the common L version
C00144	Add	Guanosine-5'-monophosphate	Fixing of an incorrect value
C00144	Add	Guanosine-5'-phosphate	Fixing of an incorrect value
C00144	Add	Guanosinemonophosphate	Adding a default name to the common version
C00144	Add	Guanosine-monophosphate	Fixing of an incorrect value
C00144	Add	Guanosine-phosphate	Adding a default name to the common version
C00144	Add	Guanosinephosphate	Adding a default name to the common version
C00144	Remove	Guanosine 5'-monophosphate	Incorrect value
C00144	Remove	Guanosine 5 '-phosphate	Incorrect value
C00144	Remove	Guanosine 5'-phosphate	Incorrect value
C00144	Remove	Guanosine monophosphate	Incorrect value
C00148	Add	Proline	Adding a default name to the commonL version
C00149	Add	2-Hydroxybutanedioic acid	Adding a default name to the common L version
C00152	Add	Asparagine	Adding a default name to the common L version
C00155	Add	Homocysteine	Adding a default name to the commonL version
C00181	Add	Xylose	Adding a default name to the common D version
C00183	Add	Valine	Adding a default name to the commonL version
C00186	Add	Lactate	Adding a default name to the common L version
C00186	Add	Lactic acid	Adding a default name to the common L version
C00197	Add	D-Glycerate-3-phosphate	Fixing of an incorrect value
