ReactionFormula,Flux
D-Glucose + ATP <=> D-Glucose 6-phosphate + ADP,1
D-Glucose 6-phosphate <=> D-Fructose 6-phosphate,1
"ATP + D-Fructose 6-phosphate <=> ADP + Fructose-1,6-bisphosphate",1
"Fructose-1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",1
Glycerone phosphate <=> D-Glyceraldehyde 3-phosphate,1
"Pi + NAD+ + D-Glyceraldehyde 3-phosphate <=> NADH + 1,3-Bisphosphoglycerate",2
"ADP + 1,3-Bisphosphoglycerate <=> ATP + D-Glycerate-3-phosphate",2
D-Glycerate-3-phosphate <=> D-Glycerate-2-phosphate,2
D-Glycerate-2-phosphate <=> Phosphoenolpyruvate + H2O,2
ADP + Phosphoenolpyruvate <=> Pyruvate + ATP,2
Pyruvate <=> Acetaldehyde + CO2,2
Acetaldehyde + NADH <=> Ethanol + NAD+,2
