!!SBtab TableName='Reaction' TableType='Reaction' Document='Pathway Model' SBtabVersion='1.0'
!ID	!ReactionFormula	!Identifiers:kegg.reaction
glucokinas_R00299	d_glucose + atp <=> glucose_6_phosphate + adp	R00299
phosphohex_R00771	glucose_6_phosphate <=> d_fructose_6_phosphoric_acid	R00771
6_phosphof_R04779	atp + d_fructose_6_phosphoric_acid <=> adp + fructose_16_bisphosphate	R04779
fructose_b_R01070	fructose_16_bisphosphate <=> glycerone_phosphate + d_glyceraldehyde_3_phosphate	R01070
triose_pho_R01015	glycerone_phosphate <=> d_glyceraldehyde_3_phosphate	R01015
glyceralde_R01061	orthophosphate + nad + d_glyceraldehyde_3_phosphate <=> nadh + 3_phospho_d_glyceroyl_phosphate	R01061
phosphogly_R01512	adp + 3_phospho_d_glyceroyl_phosphate <=> atp + 3_phospho_d_glycerate	R01512
phosphogly_R01518	3_phospho_d_glycerate <=> 2_phospho_d_glycerate	R01518
phosphopyr_R00658	2_phospho_d_glycerate <=> phosphoenolpyruvate + h2o	R00658
pyruvate_k_R00200	adp + phosphoenolpyruvate <=> pyruvate + atp	R00200
pyruvate_d_R00224	pyruvate <=> acetaldehyde + co2	R00224
retinal_re_R00754	acetaldehyde + nadh <=> ethanol + nad	R00754
%
!!SBtab TableName='RelativeFlux' TableType='Quantity' Document='Pathway Model' SBtabVersion='1.0'
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	!Value
flux	glucokinas_R00299	R00299	1.0
flux	phosphohex_R00771	R00771	1.0
flux	6_phosphof_R04779	R04779	1.0
flux	fructose_b_R01070	R01070	1.0
flux	triose_pho_R01015	R01015	1.0
flux	glyceralde_R01061	R01061	2.0
flux	phosphogly_R01512	R01512	2.0
flux	phosphogly_R01518	R01518	2.0
flux	phosphopyr_R00658	R00658	2.0
flux	pyruvate_k_R00200	R00200	2.0
flux	pyruvate_d_R00224	R00224	2.0
flux	retinal_re_R00754	R00754	2.0
%
!!SBtab TableName='ReactionConstant' TableType='Quantity' Document='Pathway Model' SBtabVersion='1.0' pH='7.00' 'IonicStrength='0.10' IonicStrengthUnit='M'
!QuantityType	!Reaction	!Value	!Unit	!Reaction:Identifiers:kegg.reaction	!ID
equilibrium constant	glucokinas_R00299	1061.247724701117	dimensionless	R00299	kEQ_R0
equilibrium constant	phosphohex_R00771	0.36088924541587591	dimensionless	R00771	kEQ_R1
equilibrium constant	6_phosphof_R04779	190.14472323307021	dimensionless	R04779	kEQ_R2
equilibrium constant	fructose_b_R01070	0.00074515916269928299	dimensionless	R01070	kEQ_R3
equilibrium constant	triose_pho_R01015	0.10966257096243406	dimensionless	R01015	kEQ_R4
equilibrium constant	glyceralde_R01061	0.043290979452048114	dimensionless	R01061	kEQ_R5
equilibrium constant	phosphogly_R01512	1716.1616369582259	dimensionless	R01512	kEQ_R6
equilibrium constant	phosphogly_R01518	0.18215935526460458	dimensionless	R01518	kEQ_R7
equilibrium constant	phosphopyr_R00658	5.1957200220185431	dimensionless	R00658	kEQ_R8
equilibrium constant	pyruvate_k_R00200	71137.925400853157	dimensionless	R00200	kEQ_R9
equilibrium constant	pyruvate_d_R00224	1620.6623703987977	dimensionless	R00224	kEQ_R10
equilibrium constant	retinal_re_R00754	6320.7940510652616	dimensionless	R00754	kEQ_R11
%
!!SBtab TableName='ConcentrationConstraint' TableType='Quantity' Document='Pathway Model' SBtabVersion='1.0' Unit='M'
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	!Concentration:Min	!Concentration:Max
concentration	co2	C00011	1e-05	1e-05
concentration	d_fructose_6_phosphoric_acid	C00085	1e-06	0.01
concentration	nadh	C00004	0.0001	0.0001
concentration	glycerone_phosphate	C00111	1e-06	0.01
concentration	2_phospho_d_glycerate	C00631	1e-06	0.01
concentration	orthophosphate	C00009	0.01	0.01
concentration	adp	C00008	0.0005	0.0005
concentration	3_phospho_d_glycerate	C00197	1e-06	0.01
concentration	d_glucose	C00031	1e-06	0.01
concentration	nad	C00003	0.001	0.001
concentration	atp	C00002	0.005	0.005
concentration	phosphoenolpyruvate	C00074	1e-06	0.01
concentration	d_glyceraldehyde_3_phosphate	C00118	1e-06	0.01
concentration	acetaldehyde	C00084	1e-06	0.01
concentration	ethanol	C00469	1e-06	0.01
concentration	h2o	C00001	1.0	1.0
concentration	pyruvate	C00022	1e-06	0.01
concentration	glucose_6_phosphate	C00092	1e-06	0.01
concentration	fructose_16_bisphosphate	C05378	1e-06	0.01
concentration	3_phospho_d_glyceroyl_phosphate	C00236	1e-06	0.01
